"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Confirmed For Meeting?","confirmed_for_meeting_","enumeration","","deal_activity","true","Yes; No; Replied to Message","false","false","false","false","false","false","Lucas Graham","","0%","",""
"Is closed lost","hs_is_closed_lost","bool","True if the deal is in the closed lost state, false otherwise","deal_activity","false","True (true); False (false)","true","true","true","false","false","true","HubSpot","","100%","2/19/26 2:37 PM EST","HubSpot Calculation"
"Is Closed Won","hs_is_closed_won","bool","True if the deal is in the closed won state, false otherwise","deal_activity","false","True (true); False (false)","true","true","false","false","false","true","HubSpot","","100%","2/19/26 2:37 PM EST","HubSpot Calculation"
"Last GS Shared Message","hs_last_gs_shared_message","datetime","when was the last gs shared message?","deal_activity","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Last Partner Shared Message Date","hs_last_partner_shared_message_date","date","When was the last shared message sent on this deal by a Partner?","deal_activity","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Last Shared Message Create Date","hs_last_shared_message_create_date","datetime","The date of the most recent shared message on this deal.","deal_activity","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Last Modified Date","hs_lastmodifieddate","datetime","Most recent timestamp of any property update for this deal. This includes HubSpot internal properties, which can be visible or hidden. This property is updated automatically.","deal_activity","false","","true","true","false","false","false","true","HubSpot","","100%","2/22/26 1:49 PM EST","HubSpot Processing"
"Latest Approval Status","hs_latest_approval_status","string","The latest approval status. Used by HubSpot to track pipeline approval processes.","deal_activity","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Internal Email Notifications","internal_email_notifications","string","Notifies an internal contact (must exist in Hubspot) of all automated outbound customer emails associated with the deal. Must be entered as an email.","deal_activity","true","","false","false","false","false","false","false","Lucas Graham","Flow action (2)","10.06%","12/31/25 12:40 AM EST","Workflow"
"Passed to Asana","passed_to_asana","enumeration","","deal_activity","true","Yes (true); No (false)","false","false","false","false","false","false","Lucas Graham","","0%","",""
"Active?","active_","enumeration","","dealinformation","true","Yes (true); No (false)","false","false","false","false","false","false","Lucas Graham","","0%","",""
"Amount","amount","number","The total amount of the deal","dealinformation","false","","false","true","false","false","false","true","HubSpot","Dependent conditional field (3)","94.67%","2/19/26 2:37 PM EST","CRM UI"
"Amount in company currency","amount_in_home_currency","number","The amount of the deal, using the exchange rate, in your company's currency","dealinformation","false","","true","true","true","false","false","true","HubSpot","","94.67%","2/19/26 2:37 PM EST","HubSpot Calculation"
"Are you currently utilizing a Point-of-Sale system at your concept?","are_you_currently_utilizing_a_point_of_sale_system_at_your_concept_","enumeration","","dealinformation","false","Yes (true); No (false)","true","false","true","false","false","false","Lucas Graham","","1.18%","2/19/26 1:05 PM EST","HubSpot Processing"
"Are you looking for anything specific in your next point of sale provider?","are_you_looking_for_anything_specific_in_your_next_point_of_sale_provider_","string","","dealinformation","false","","true","false","true","false","false","false","Lucas Graham","","0%","",""
"Are you the one making the final decision on technology, or is there someone else involved?","are_you_the_one_making_the_final_decision_on_technology__or_is_there_someone_else_involved_","enumeration","","dealinformation","true","I am the decision maker; There is someone else involved","false","false","false","false","false","false","Lucas Graham","","0%","",""
"BANT","bant","string","Budget - Authority - Need - Timeline","dealinformation","true","","false","false","false","false","false","false","Lucas Graham","","0%","",""
"Bravo! Services","bravo__services","enumeration","","dealinformation","true","Support; Onboarding; Account Management; Consulting","false","false","false","false","false","false","Lucas Graham","Dependent conditional field (1)","0%","",""
"Can you tell me about your concept? What kind of experience are you aiming to create for your customers?","can_you_tell_me_about_your_concept__what_kind_of_experience_are_you_aiming_to_create_for_your_custo","string","","dealinformation","true","","false","false","false","false","false","false","Lucas Graham","","0%","",""
"Cancellation Date","cancellation_date","date","","dealinformation","true","","false","false","false","false","false","false","Lucas Graham","","0%","",""
"Cancelled?","cancelled_","enumeration","","dealinformation","true","Yes (true); No (false)","false","false","false","false","false","false","Lucas Graham","","0%","",""
"Cash Discounting Status","cash_discounting_status","enumeration","","dealinformation","true","Yes; No","false","false","false","false","false","false","Lucas Graham","","0%","",""
"Closed Lost Reason","closed_lost_reason","string","Reason why this deal was lost","dealinformation","false","","false","false","false","false","false","true","HubSpot","Dependent conditional field (1)","3.55%","7/20/25 4:07 PM EDT","CRM UI Bulk Action"
"Closed Won Reason","closed_won_reason","string","Reason why this deal was won","dealinformation","false","","false","false","false","false","false","true","HubSpot","Dependent conditional field (1)","5.92%","4/7/25 1:10 PM EDT","CRM UI"
"Close Date","closedate","datetime","The expected close date of the deal","dealinformation","false","","false","true","false","false","false","true","HubSpot","Dependent conditional field (5)","95.27%","2/19/26 2:37 PM EST","CRM UI"
"Closer - Next Nurture Date","closer___next_nurture_date","date","","dealinformation","true","","false","false","false","false","false","false","Lucas Graham","Dependent conditional field (2)","1.18%","4/29/25 9:25 PM EDT","CRM UI"
"Contract Sent","contract_sent","enumeration","","dealinformation","true","Yes; No","false","false","false","false","false","false","Lucas Graham","","4.14%","7/17/25 10:13 PM EDT","Workflow"
"Contract Sent Date","contract_sent_date","datetime","","dealinformation","true","","false","false","false","false","false","false","Lucas Graham","","4.14%","7/17/25 10:13 PM EDT","Workflow"
"Create Date","createdate","datetime","The date the deal was created. This property is set automatically by HubSpot.","dealinformation","false","","false","true","false","false","false","true","HubSpot","Rollup property (2)","100%","2/19/26 2:37 PM EST","CRM UI"
"Days to close","days_to_close","number","The number of days the deal took to close","dealinformation","false","","true","true","false","false","false","true","HubSpot","","100%","2/19/26 2:37 PM EST","HubSpot Calculation"
"Deal Name Extension ","deal_name_extension","string","","dealinformation","true","","false","false","false","false","false","false","Lucas Graham","Automation platform flow (1)","1.78%","1/30/26 3:57 PM EST","CRM UI"
"Deal Source","deal_source","enumeration","","dealinformation","true","Cold Call; Door Knocking; Mailer/Letter; Networking Event; Social Media Organic; Social Media Ad; Referral - Current Customer; Referral - Partner; Referral - Employee","false","false","false","false","false","false","Lucas Graham","","0%","",""
"Deal Term (Years)","deal_term__years_","number","","dealinformation","true","","false","false","false","false","false","false","Lucas Graham","","1.18%","7/17/25 10:06 PM EDT","Integration"
"Deal Name","dealname","string","The name given to this deal.","dealinformation","false","","false","true","false","false","false","true","HubSpot","Automation platform flow (2)","100%","2/19/26 2:37 PM EST","CRM UI"
"Deal Stage","dealstage","enumeration","The stage of the deal. Deal stages allow you to categorize and track the progress of the deals that you are working on.","dealinformation","false","","false","true","false","true","false","true","HubSpot","Automation platform flow (4); Controlling conditional field (18)","100%","2/19/26 2:37 PM EST","CRM UI"
"Deal Type","dealtype","enumeration","The type of deal. By default, categorize your deal as either a New Business or Existing Business.","dealinformation","false","New Client Intake; Bravo!; Marketing; Restaurant Tech; Partnership; Shift4 Residual; Platinum Residual; Online Ordering Fee","false","true","false","false","false","true","HubSpot","Controlling conditional field (2)","95.27%","2/19/26 2:37 PM EST","CRM UI"
"Deal Description","description","string","Description of the deal","dealinformation","false","","false","true","false","false","false","true","HubSpot","","8.88%","",""
"Employee Referred","employee_referred","enumeration","The employee who referred the deal","dealinformation","false","","false","false","false","true","false","false","Lucas Graham","","0.59%","12/11/25 4:38 PM EST","CRM UI"
"Date of last meeting booked in meetings tool","engagements_last_meeting_booked","datetime","The date of the most recent meeting an associated contact has booked through the meetings tool.","dealinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Campaign of last booking in meetings tool","engagements_last_meeting_booked_campaign","string","This UTM parameter shows which marketing campaign (e.g. a specific email) referred an associated contact to the meetings tool for their most recent booking. This property is only populated when you add tracking parameters to your meeting link.","dealinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Medium of last booking in meetings tool","engagements_last_meeting_booked_medium","string","This UTM parameter shows which channel (e.g. email) referred an associated contact to the meetings tool for their most recent booking. This property is only populated when you add tracking parameters to your meeting link.","dealinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Source of last booking in meetings tool","engagements_last_meeting_booked_source","string","This UTM parameter shows which site (e.g. Twitter) referred an associated contact to the meetings tool for their most recent booking. This property is only populated when you add tracking parameters to your meeting link. ","dealinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Est Monthly Residual (After Split)","est_monthly_residual__after_split_","number","","dealinformation","true","","false","false","false","false","false","false","Lucas Graham","","0%","",""
"Est. Payment Margin","est_payment_margin","number","","dealinformation","true","","false","false","false","false","false","false","Lucas Graham","Dependent conditional field (1)","0.59%","2/2/26 8:07 AM EST","CRM UI"
"Go-Live Date","go_live_date","date","The date the deal went live with completed onboarding","dealinformation","true","","false","false","false","false","false","false","Lucas Graham","Calculated property (1)","0%","",""
"Have you started considering online ordering or delivery options?","have_you_started_considering_online_ordering_or_delivery_options_","enumeration","","dealinformation","true","Yes (true); No (false)","false","false","false","false","false","false","Lucas Graham","","0%","",""
"Actual duration","hs_actual_duration","number","Calculates the time between the create date and close date. If the create date occurs after the close date, the value returned is 0.","dealinformation","false","","true","true","true","false","false","true","HubSpot","","95.27%","2/19/26 2:37 PM EST","HubSpot Calculation"
"Annual contract value","hs_acv","number","The annual contract value (ACV) of this deal.","dealinformation","false","","true","true","true","false","false","true","HubSpot","","0%","",""
"Deal Collaborator","hs_all_collaborator_owner_ids","enumeration","Owner ids of the users involved in closing the deal","dealinformation","false","","false","true","false","true","false","true","HubSpot","","0.59%","10/10/25 4:51 PM EDT","CRM UI"
"Deal Split Users","hs_all_deal_split_owner_ids","enumeration","The owner ids of all associated Deal Splits. This property is set automatically by HubSpot.","dealinformation","false","","true","true","true","true","false","true","HubSpot","","0%","",""
"Annual recurring revenue","hs_arr","number","The annual recurring revenue (ARR) of this deal.","dealinformation","false","","true","true","true","false","false","true","HubSpot","","0%","",""
"Closed won count","hs_closed_won_count","number","This property is 1 if the deal is closed won, otherwise 0.","dealinformation","false","","true","true","true","false","false","true","HubSpot","","100%","2/19/26 2:37 PM EST","HubSpot Calculation"
"Created by user ID","hs_created_by_user_id","number","The user who created this record. This value is set automatically by HubSpot.","dealinformation","false","","true","true","false","true","false","true","HubSpot","","100%","2/19/26 2:37 PM EST","CRM UI"
"Deal Score","hs_deal_score","number","The predictive deal score calculated by Hubspot AI to score the deal health","dealinformation","false","","true","true","false","false","false","true","HubSpot","","30.77%","2/22/26 1:49 PM EST","HubSpot AI"
"Deal probability","hs_deal_stage_probability","number","The probability a deal will close. This defaults to the deal stage probability setting.","dealinformation","false","","false","true","false","false","false","true","HubSpot","","100%","2/19/26 2:37 PM EST","HubSpot Calculation"
"Exchange rate","hs_exchange_rate","number","This is the exchange rate used to convert the deal amount into your company currency.","dealinformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Forecast amount","hs_forecast_amount","number","The custom forecasted deal value calculated by multiplying the forecast probability and deal amount in your company’s currency.","dealinformation","false","","true","true","true","false","false","true","HubSpot","","94.67%","2/19/26 2:37 PM EST","HubSpot Calculation"
"Forecast probability","hs_forecast_probability","number","The custom percent probability a deal will close.","dealinformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Is Deal Closed?","hs_is_closed","bool","True if the deal was won or lost.","dealinformation","false","True (true); False (false)","true","true","true","false","false","true","HubSpot","","100%","2/19/26 2:37 PM EST","HubSpot Calculation"
"Is Closed (numeric)","hs_is_closed_count","number","This property is 1 if the deal is closed (""Closed Won"" or ""Closed Lost""), otherwise 0","dealinformation","false","","true","true","true","false","false","true","HubSpot","","100%","2/19/26 2:37 PM EST","HubSpot Calculation"
"Deal Split Added","hs_is_deal_split","bool","Indicates if the deal is split between multiple users.","dealinformation","false","True (true); False (false)","true","true","false","false","false","true","HubSpot","","100%","2/19/26 2:37 PM EST","HubSpot Calculation"
"Is Open (numeric)","hs_is_open_count","number","This property is 1 if the deal is not closed won or closed lost, otherwise 0","dealinformation","false","","true","true","true","false","false","true","HubSpot","","100%","2/19/26 2:37 PM EST","HubSpot Calculation"
"Forecast category","hs_manual_forecast_category","enumeration","The likelihood a deal will close. This property is used for manual forecasting your deals.","dealinformation","false","Not forecasted (OMIT) [READ-ONLY]; Pipeline (PIPELINE); Best case (BEST_CASE); Commit (COMMIT); Closed won (CLOSED) [READ-ONLY]","false","true","false","false","false","true","HubSpot","","9.47%","",""
"Merged Deal IDs","hs_merged_object_ids","enumeration","The list of Deal record IDs that have been merged into this Deal. This value is set automatically by HubSpot.","dealinformation","false","","true","true","false","false","false","true","HubSpot","","2.37%","2/17/26 11:24 AM EST","CRM UI"
"Monthly recurring revenue","hs_mrr","number","The monthly recurring revenue (MRR) of this deal.","dealinformation","false","","true","true","true","false","false","true","HubSpot","Calculated property (2)","0%","",""
