"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Original Source Data 1","hs_analytics_source_data_1","string","Additional information about the original source for the contact with the earliest activity for this company or organization","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","","100%","2/19/26 1:20 PM EST","HubSpot Calculation"
"Original Source Data 2","hs_analytics_source_data_2","string","Additional information about the original source for the contact with the earliest activity for this company or organization","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","","100%","2/19/26 1:20 PM EST","HubSpot Calculation"
"At-Risk","at_risk","enumeration","","company_activity","true","Yes (true); No (false)","false","false","false","false","false","false","Lucas Graham","","0%","",""
"Last Logged Outgoing Email Date","hs_last_logged_outgoing_email_date","datetime","The last date of logged outgoing emails associated with the company","company_activity","false","","true","true","false","false","false","true","HubSpot","","42.5%","2/19/26 10:47 AM EST","HubSpot Calculation"
"Last Modified Date","hs_lastmodifieddate","datetime","Most recent timestamp of any property update for this company. This includes HubSpot internal properties, which can be visible or hidden. This property is updated automatically.","company_activity","false","","true","true","false","false","false","true","HubSpot","","100%","2/22/26 9:41 PM EST","HubSpot Calculation"
"Tracked Page Views (Last 30 Days)","hs_intent_page_views_last_30_days","number","Number of de-anonymized page views in the last 30 days","company_signals","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Intent Signals active","hs_intent_signals_enabled","bool","Indicates whether intent signal tracking is currently active for this record","company_signals","false","Yes (true); No (false)","true","false","false","false","false","true","HubSpot","","0%","",""
"Tracked Visitors (Last 30 Days)","hs_intent_visitors_last_30_days","number","Number of de-anonymized visitors in the last 30 days","company_signals","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Last Tracked Visit Time","hs_most_recent_de_anonymized_visit","datetime","Most recent de-anonymized visit","company_signals","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Recent Intent Signals","hs_recent_intent_signals","enumeration","A rolling list of unique intent signal types detected for this company in the past 30 days. Each type (e.g., Visitor intent, Research intent) appears once, showing the most recent occurrence.","company_signals","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"About Us","about_us","string","Short about-company","companyinformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
