"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Status","hs_latest_status","enumeration","The current status of the payment.","commerce_payment_information","false","Processing (processing) [READ-ONLY]; Succeeded (succeeded) [READ-ONLY]; Failed (failed) [READ-ONLY]; Partially refunded (partially_refunded) [READ-ONLY]; Refunded (refunded) [READ-ONLY]; Processing refund (processing_refund) [READ-ONLY]; Disputed (won) (disputed_won) [READ-ONLY]; Disputed (lost) (disputed_lost) [READ-ONLY]; Disputed (action required) (disputed_action_required) [READ-ONLY]; Disputed (awaiting decision) (disputed_awaiting_decision) [READ-ONLY]","false","true","false","false","false","true","HubSpot","","0%","",""
"Status updated on","hs_latest_status_updated_date","datetime","The last time the status of the payment was updated.","commerce_payment_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Line item discount amount","hs_line_item_discounts_amount","number","","commerce_payment_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Line item discount amount in company currency","hs_line_item_discounts_amount_in_portal_currency","number","","commerce_payment_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Max refundable amount in company currency","hs_max_refundable_amount_in_portal_currency","number","The maximum amount that can be refunded in the portal's default currency.","commerce_payment_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Net amount","hs_net_amount","number","The total amount you collected after fees.","commerce_payment_information","false","","true","true","true","false","false","true","HubSpot","","0%","",""
"Net amount after refunds","hs_net_amount_after_refunds","number","The total amount you collected after fees and any refunds. It's possible for this amount to be negative if you refund the payment, since fees aren't returned.","commerce_payment_information","false","","true","true","true","false","false","true","HubSpot","","0%","",""
"Net amount in company currency","hs_net_amount_in_portal_currency","number","The total amount you collected after fees and any refunds, in the portal's default currency. It's possible for this amount to be negative if you refund the payment, since fees aren't returned.","commerce_payment_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Net amount in settlement currency","hs_net_amount_in_settlement_currency","number","The total amount you collected after fees in the settlement currency.","commerce_payment_information","false","","true","false","false","false","false","true","HubSpot","","0%","",""
"Record ID","hs_object_id","number","The unique HubSpot object ID generated for each payment. This value is set automatically by HubSpot.","commerce_payment_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source detail 1","hs_object_source_detail_1","string","First level of detail on how this record was created.","commerce_payment_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source detail 2","hs_object_source_detail_2","string","Second level of detail on how this record was created.","commerce_payment_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source detail 3","hs_object_source_detail_3","string","Third level of detail on how this record was created.","commerce_payment_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source","hs_object_source_label","enumeration","How this record was created.","commerce_payment_information","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Order discount amount","hs_order_discount_amount","number","","commerce_payment_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Order discount amount in company currency","hs_order_discount_amount_in_portal_currency","number","","commerce_payment_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Order discount code","hs_order_discount_code","string","","commerce_payment_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Order discount percentage","hs_order_discount_percentage","number","","commerce_payment_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Payment ID","hs_payment_id","string","The unique payment ID generated for your billing records and receipts. This value is set automatically by HubSpot and can't be changed.","commerce_payment_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"External payment method","hs_payment_method","enumeration","How the customer made a payment, derived from an External Option","commerce_payment_information","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Bank or issuer","hs_payment_method_bank_or_issuer","string","The name of the bank or card issuer.","commerce_payment_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Last four digits","hs_payment_method_last_4","string","The last four digits of the bank account or card used as the payment method.","commerce_payment_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Payment method","hs_payment_method_type","enumeration","The way the customer made the payment, either with card or ACH (bank transfer)","commerce_payment_information","false","Card (card) [READ-ONLY]; ACH (ach) [READ-ONLY]; Cash (cash) [READ-ONLY]; Check (check) [READ-ONLY]; Wire transfer (wire_transfer) [READ-ONLY]; Other (other) [READ-ONLY]; SEPA (sepa) [READ-ONLY]; BACS (bacs) [READ-ONLY]; PADs (pads) [READ-ONLY]","false","false","false","false","false","true","HubSpot","","0%","",""
"Source","hs_payment_source_app","enumeration","The object, tool, or integration that created the payment.","commerce_payment_information","false","Payment Link (SALES_CHECKOUT) [READ-ONLY]; Quote (QUOTE) [READ-ONLY]; Invoice (INVOICE); Migration (MIGRATION); Subscription (SUBSCRIPTION)","true","true","false","false","false","true","HubSpot","","0%","",""
"Source ID","hs_payment_source_id","string","The unique ID for the object, tool, or integration that created the payment.","commerce_payment_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Payment source name","hs_payment_source_name","string","","commerce_payment_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Source URL","hs_payment_source_url","string","The URL for the object, tool, or integration that created the payment.","commerce_payment_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Payment type","hs_payment_type","enumeration","Indicates the line item types on the Payment","commerce_payment_information","false","One-Time/Initial (one_time_or_initial); Recurring (recurring)","true","true","false","false","false","true","HubSpot","","0%","",""
"Payout date","hs_payout_date","datetime","The date a bank deposit associated with this payment was made","commerce_payment_information","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Platform fee","hs_platform_fee","number","The total amount HubSpot charged to facilitate this payment. To see the current rates, go to the Account Info tab in payments settings.","commerce_payment_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Platform fee in company currency","hs_platform_fee_in_portal_currency","number","The total amount HubSpot charged to facilitate this payment in the portal's default currency. To see the current rates, go to the Account Info tab in payments settings.","commerce_payment_information","false","","true","true","true","false","false","true","HubSpot","","0%","",""
"Platform fee in settlement currency","hs_platform_fee_in_settlement_currency","number","The total amount HubSpot charged to facilitate this payment in the settlement currency. To see the current rates, go to the Account Tab in payments settings.","commerce_payment_information","false","","true","true","true","false","false","true","HubSpot","","0%","",""
"Presentment to portal currency dated exchange rate","hs_presentment_to_portal_currency_dated_exchange_rate","number","Exchange rate between the presentment currency and portal currency at the time of payment creation","commerce_payment_information","false","","true","true","false","false","false","true","HubSpot","","0%","",""
