"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"AppId","hs_app_id","number","The appId that is associated with this marketing event. This value is automatically set by HubSpot and may not be modified.","marketingeventinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Attendees","hs_attendees","number","The number of people who attended this marketing event","marketingeventinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Cancellations","hs_cancellations","number","The number of cancellations for this marketing event","marketingeventinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Created by user ID","hs_created_by_user_id","number","The user who created this record. This value is set automatically by HubSpot.","marketingeventinformation","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Object create date/time","hs_createdate","datetime","The date and time at which this object was created. This value is automatically set by HubSpot and may not be modified.","marketingeventinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"End date","hs_end_datetime","datetime","The end date and time of the marketing event.","marketingeventinformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Event cancelled","hs_event_cancelled","bool","Indicates if the marketing event has been cancelled.","marketingeventinformation","false","True (true); False (false)","false","true","false","false","false","true","HubSpot","","0%","",""
"Description","hs_event_description","string","The description of the marketing event","marketingeventinformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Name","hs_event_name","string","The name of the event","marketingeventinformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Organizer","hs_event_organizer","string","The marketing event organizer","marketingeventinformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Type","hs_event_type","string","The type of marketing event","marketingeventinformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Url","hs_event_url","string","The url to the marketing event","marketingeventinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Last import status","hs_import_status","enumeration","Stores last import status associated with MarketingEvent","marketingeventinformation","false","In progress (in_progress); Complete (complete); Import failed (import_failed); Import reverted (import_reverted)","true","true","false","false","false","true","HubSpot","","0%","",""
"Object last modified date/time","hs_lastmodifieddate","datetime","Most recent timestamp of any property update for this object. This includes HubSpot internal properties, which can be visible or hidden. This property is updated automatically.","marketingeventinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"No shows","hs_noshows","number","The number of people who registered for this marketing event but did not attend nor cancel","marketingeventinformation","false","","true","true","true","false","false","true","HubSpot","","0%","",""
"Record ID","hs_object_id","number","The unique ID for this record. This value is set automatically by HubSpot.","marketingeventinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source detail 1","hs_object_source_detail_1","string","First level of detail on how this record was created.","marketingeventinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source detail 2","hs_object_source_detail_2","string","Second level of detail on how this record was created.","marketingeventinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source detail 3","hs_object_source_detail_3","string","Third level of detail on how this record was created.","marketingeventinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source","hs_object_source_label","enumeration","How this record was created.","marketingeventinformation","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Registrations","hs_registrations","number","The current number of registrations for this marketing event","marketingeventinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Start date","hs_start_datetime","datetime","The start date and time of the marketing event.","marketingeventinformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Updated by user ID","hs_updated_by_user_id","number","The user who last updated this record. This value is set automatically by HubSpot.","marketingeventinformation","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Owner","hubspot_owner_id","enumeration","The owner of the object.","marketingeventinformation","false","","false","true","false","true","false","true","HubSpot","","0%","",""
